"","speech_act","speaker_role","target_child_age_months","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"1","declarative","Father",12,32,45,0.711111111111111,71.1111111111111
"2","declarative","Father",14,1024,1766,0.579841449603624,57.9841449603624
"3","declarative","Father",15,255,1015,0.251231527093596,25.1231527093596
"4","declarative","Father",16,2573,3854,0.667618059159315,66.7618059159315
"5","declarative","Father",17,3984,5824,0.684065934065934,68.4065934065934
"6","declarative","Father",18,3847,5134,0.749318270354499,74.9318270354499
"7","declarative","Father",19,1375,2625,0.523809523809524,52.3809523809524
"8","declarative","Father",20,1832,2540,0.721259842519685,72.1259842519685
"9","declarative","Father",21,2735,4019,0.680517541677034,68.0517541677034
"10","declarative","Father",22,4202,6009,0.699284406723248,69.9284406723248
"11","declarative","Father",23,4328,6203,0.697726906335644,69.7726906335644
"12","declarative","Father",24,9870,14586,0.676676264911559,67.6676264911559
"13","declarative","Father",25,3871,6383,0.606454645151183,60.6454645151183
"14","declarative","Father",26,4189,6681,0.627001945816494,62.7001945816494
"15","declarative","Father",27,2784,4502,0.618391825855175,61.8391825855175
"16","declarative","Father",28,3701,5859,0.631677760710019,63.1677760710019
"17","declarative","Father",29,4135,6551,0.631201343306365,63.1201343306365
"18","declarative","Father",30,6716,11516,0.583188607155262,58.3188607155262
"19","declarative","Father",31,4120,6784,0.607311320754717,60.7311320754717
"20","declarative","Father",32,4546,6924,0.656556903523975,65.6556903523975
"21","declarative","Father",33,4771,8130,0.586838868388684,58.6838868388684
"22","declarative","Father",34,5558,10157,0.547208821502412,54.7208821502412
"23","declarative","Father",35,5950,8630,0.689455388180765,68.9455388180765
"24","declarative","Father",36,11613,18456,0.629226267880364,62.9226267880364
"25","declarative","Father",37,3355,5370,0.624767225325885,62.4767225325885
"26","declarative","Father",38,2727,4721,0.577631857657276,57.7631857657276
"27","declarative","Father",39,3108,5021,0.619000199163513,61.9000199163513
"28","declarative","Father",40,2252,3781,0.595609627082782,59.5609627082782
"29","declarative","Father",41,1501,3367,0.445797445797446,44.5797445797446
"30","declarative","Father",42,1831,3778,0.484647961884595,48.4647961884595
"31","declarative","Father",43,1893,2998,0.631420947298199,63.1420947298199
"32","declarative","Father",44,1509,2594,0.581727062451812,58.1727062451812
"33","declarative","Father",45,1112,2002,0.555444555444555,55.5444555444555
"34","declarative","Father",46,2132,3576,0.596196868008949,59.6196868008949
"35","declarative","Father",47,1551,2533,0.612317410185551,61.2317410185551
"36","declarative","Father",48,2132,3418,0.623756582796957,62.3756582796957
"37","declarative","Father",49,1026,1800,0.57,57
"38","declarative","Father",50,2462,3888,0.633230452674897,63.3230452674897
"39","declarative","Father",51,1357,2480,0.547177419354839,54.7177419354839
"40","declarative","Father",52,1661,2934,0.566121336059986,56.6121336059986
"41","declarative","Father",53,550,890,0.617977528089888,61.7977528089888
"42","declarative","Father",54,789,1384,0.570086705202312,57.0086705202312
"43","declarative","Father",55,332,550,0.603636363636364,60.3636363636364
"44","declarative","Father",56,807,1290,0.625581395348837,62.5581395348837
"45","declarative","Father",57,8266,12414,0.665861124536813,66.5861124536813
"46","declarative","Father",58,563,1027,0.548198636806232,54.8198636806232
"47","declarative","Father",59,988,1669,0.591971240263631,59.1971240263631
"48","declarative","Father",60,262,467,0.561027837259101,56.1027837259101
"49","declarative","Father",61,425,734,0.579019073569482,57.9019073569482
"50","declarative","Father",62,486,885,0.549152542372881,54.9152542372881
