"","speaker_role","word","count","total","rel_freq","lower","upper","ppt","ppt_upper","ppt_lower"
"1","Father","and",15488,967075,0.0160153038802575,0.0157670164406895,0.016267436316118,16.0153038802575,16.267436316118,15.7670164406895
"2","Father","or",1683,967075,0.00174029935630639,0.00165916013687123,0.0018253969792139,1.74029935630639,1.8253969792139,1.65916013687123
"3","Father","other",949904,967075,0.982244396763436,0.98197926192738,0.982505700428936,982.244396763436,982.505700428936,981.97926192738
"4","Mother","and",153781,8511478,0.0180674848716051,0.0179782199568433,0.0181571848043687,18.0674848716051,18.1571848043687,17.9782199568433
"5","Mother","or",14288,8511478,0.00167867437359293,0.00165139546360346,0.00170640309499892,1.67867437359293,1.70640309499892,1.65139546360346
"6","Mother","other",8343409,8511478,0.980253840754802,0.980160156975764,0.980347091031099,980.253840754802,980.347091031099,980.160156975764
"7","Target_Child","and",78443,4681056,0.0167575435970003,0.0166416570818553,0.0168742232470591,16.7575435970003,16.8742232470591,16.6416570818553
"8","Target_Child","or",2590,4681056,0.000553293957602729,0.000532393281312262,0.000575014364475318,0.553293957602729,0.575014364475318,0.532393281312262
"9","Target_Child","other",4600023,4681056,0.982689162445397,0.98257061244882,0.982806920215169,982.689162445397,982.806920215169,982.57061244882
