"","speaker_role","word","speech_act","count","total","rel_freq","lower","upper","ppt","upper_ppt","lower_ppt"
"1","Father","and","declarative",9498,564006,0.0168402463803577,0.0165060341109524,0.0171794348424074,16.8402463803577,17.1794348424074,16.5060341109524
"2","Father","and","imperative",161,10973,0.0146723776542422,0.0125065940818361,0.0171009524554492,14.6723776542422,17.1009524554492,12.5065940818361
"3","Father","and","other",1784,63668,0.0280203555946472,0.0267521531709147,0.0293318165428569,28.0203555946472,29.3318165428569,26.7521531709147
"4","Father","and","question",4045,328428,0.012316245874286,0.0119418271512869,0.0126993060285974,12.316245874286,12.6993060285974,11.9418271512869
"5","Father","or","declarative",622,564006,0.00110282514725021,0.00101789070635783,0.0011929490974002,1.10282514725021,1.1929490974002,1.01789070635783
"6","Father","or","imperative",2,10973,0.000182265560922264,2.20739672405212e-05,0.000658249146977874,0.182265560922264,0.658249146977874,0.0220739672405212
"7","Father","or","other",148,63668,0.00232455864798643,0.00196548240549255,0.00273012685515928,2.32455864798643,2.73012685515928,1.96548240549255
"8","Father","or","question",911,328428,0.00277381952817665,0.00259682470468403,0.00295967600409652,2.77381952817665,2.95967600409652,2.59682470468403
"9","Father","other","declarative",553886,564006,0.982056928472392,0.981707119343684,0.982401773296974,982.056928472392,982.401773296974,981.707119343684
"10","Father","other","imperative",10810,10973,0.985145356784836,0.982703147061011,0.98732491462797,985.145356784835,987.32491462797,982.703147061011
"11","Father","other","other",61736,63668,0.969655085757366,0.968293226509103,0.970973912608464,969.655085757366,970.973912608464,968.293226509103
"12","Father","other","question",323472,328428,0.984909934597537,0.984487168409151,0.985324112849179,984.909934597537,985.324112849179,984.487168409151
"13","Mother","and","declarative",102402,5083843,0.0201426361907714,0.0200206898148405,0.0202651295298933,20.1426361907714,20.2651295298933,20.0206898148405
"14","Mother","and","imperative",1378,98822,0.0139442634231244,0.0132224078782993,0.0146948503257958,13.9442634231244,14.6948503257958,13.2224078782993
"15","Mother","and","other",10533,254973,0.0413102563800873,0.0405410653878351,0.0420898959134408,41.3102563800873,42.0898959134408,40.5410653878351
"16","Mother","and","question",39468,3073840,0.0128399656455769,0.0127144033464504,0.0129664469297091,12.8399656455769,12.9664469297091,12.7144033464504
"17","Mother","or","declarative",6224,5083843,0.00122427069443333,0.00119406015745938,0.00125505158635331,1.22427069443333,1.25505158635331,1.19406015745938
"18","Mother","or","imperative",41,98822,0.000414887373256967,0.000297746278602129,0.00056279992988939,0.414887373256967,0.56279992988939,0.297746278602129
"19","Mother","or","other",741,254973,0.00290619006718358,0.00270095281289884,0.00312285252729716,2.90619006718358,3.12285252729716,2.70095281289884
"20","Mother","or","question",7282,3073840,0.00236902376180933,0.002314983146948,0.00242400522440567,2.36902376180933,2.42400522440567,2.314983146948
"21","Mother","other","declarative",4975217,5083843,0.978633093114795,0.978507022558717,0.978758618119728,978.633093114795,978.758618119728,978.507022558717
"22","Mother","other","imperative",97403,98822,0.985640849203619,0.984879637554307,0.986373357738524,985.640849203619,986.373357738524,984.879637554307
"23","Mother","other","other",243699,254973,0.955783553552729,0.954978451265415,0.956578274610327,955.783553552729,956.578274610327,954.978451265415
"24","Mother","other","question",3027090,3073840,0.984791010592614,0.984653576606429,0.984927530187977,984.791010592614,984.927530187977,984.653576606429
"25","Target_Child","and","declarative",63994,3734270,0.017136950461536,0.0170055599490198,0.0172690904852436,17.136950461536,17.2690904852436,17.0055599490198
"26","Target_Child","and","imperative",1668,113800,0.0146572934973638,0.0139670604487667,0.0153724193954554,14.6572934973638,15.3724193954554,13.9670604487667
"27","Target_Child","and","other",6243,154556,0.0403931261161003,0.0394169862078984,0.0413865547621757,40.3931261161003,41.3865547621757,39.4169862078984
"28","Target_Child","and","question",6538,678430,0.00963695591291659,0.00940584673960765,0.00987226660775198,9.63695591291659,9.87226660775198,9.40584673960765
"29","Target_Child","or","declarative",1635,3734270,0.000437836578501287,0.000416872928994172,0.000459581077978388,0.437836578501287,0.459581077978388,0.416872928994172
"30","Target_Child","or","imperative",30,113800,0.000263620386643234,0.000177870413528236,0.000376313284171648,0.263620386643234,0.376313284171648,0.177870413528236
"31","Target_Child","or","other",144,154556,0.000931701130981651,0.000785798632033097,0.0010968160834911,0.931701130981651,1.0968160834911,0.785798632033097
"32","Target_Child","or","question",781,678430,0.00115118730008991,0.00107189782528216,0.00123478445649106,1.15118730008991,1.23478445649106,1.07189782528216
"33","Target_Child","other","declarative",3668641,3734270,0.982425212959963,0.982291432047857,0.982558245052916,982.425212959963,982.558245052916,982.291432047857
"34","Target_Child","other","imperative",112102,113800,0.985079086115993,0.984357811770339,0.985775482921426,985.079086115993,985.775482921426,984.357811770339
"35","Target_Child","other","other",148169,154556,0.958675172752918,0.957670989110001,0.959662103518062,958.675172752918,959.662103518062,957.670989110001
"36","Target_Child","other","question",671111,678430,0.989211856786994,0.98896320166409,0.989456321202561,989.211856786994,989.456321202561,988.96320166409
