Card,Guess,Reward,Correction,Reaction
ELE,dog,0,2,uh uh! Elephant Jazzy!
CAT-ELE,cat,1,2,No! Cat and elephant!
CAT,cat,2,2,Yeah yeah It's a cat.
CAT-DOG,elephant,0,2,No. a cat and a doggie
DOG-ELE,dog or elephant,0,2,A dog and an elephant
DOG-ELE,dog or elephant,2,2,A dog and an elephant
DOG-ELE,dog and elephant,2,1,yup!
CAT,elephant,0,2,Nope a cat.
DOG,dog,2,1,yup!
DOG,cat and dog,1,3,nope! Just a dog!
CAT-DOG,dog,0,2,nope! A cat and a dog.
CAT-DOG,cat and dog,2,2,cat and dog! You are right!
CAT-DOG,elephant,1,2,nope you are wrong. There is a cat and a dog
CAT,cat or elephant,2,2,cat
CAT,cat and dog,0,3,nope. Just cat
DOG,cat or dog,0,2,dog
