Card,Guess,Reward,Correction,Reaction
DOG,dog,2,1,[nod]
CAT,dog,0,1,[headshake]
CAT-ELE,cat,1,0,NA
DOG-ELE,cat,0,1,[headshake]
DOG-ELE,dog and elephant,2,0,NA
CAT-DOG,cat or dog,2,0,NA
ELE,cat and elephant,1,3,Only elephant.
ELE,cat or elephant,1,0,NA
DOG-ELE,dog or elephant,2,0,NA
CAT-ELE,dog,0,0,NA
DOG-ELE,dog,1,0,NA
ELE,dog or elephant,1,0,NA
CAT-ELE,cat and elephant,2,0,NA
DOG,dog and elephant,1,0,NA
CAT,elephant,0,0,NA
ELE,elephant,2,0,NA
