order,trial_type,card,guess,id,age,response,feedback,judgment,correction,tvjt
1,X.Z,DOG,cat,2017-06-07-10-58,1586,no,J,N,0,N
2,X.X,CAT,cat,2017-06-07-10-58,1586,yes,J,Y,0,Y
3,XY.X,CAT-ELE,cat,2017-06-07-10-58,1586,yes,J,Y,0,Y
4,XY.XandY,CAT-ELE,cat and elephant,2017-06-07-10-58,1586,yes [was Jazzy right?] really really really right,J,Y,0,Y
5,X.XandY,DOG,cat and dog,2017-06-07-10-58,1586,no. there is a dog,D,N,0,N
6,XY.Z,CAT-DOG,elephant,2017-06-07-10-58,1586,no.,J,N,0,N
7,X.XandY,ELE,cat and elephant,2017-06-07-10-58,1586,[headshake],J,N,0,N
8,X.XorY,DOG,dog or elephant,2017-06-07-10-58,1586,dog,D,0,0,Y
9,XY.Z,CAT-ELE,dog,2017-06-07-10-58,1586,no,J,N,0,N
10,XY.X,CAT-ELE,elephant,2017-06-07-10-58,1586,[nod],J,Y,0,Y
11,X.XorY,ELE,cat or elephant,2017-06-07-10-58,1586,elephant,D,0,0,Y
12,XY.XorY,CAT-ELE,cat or elephant,2017-06-07-10-58,1586,a cat AND an elephant,C,0,I,Y
13,X.Z,CAT,elephant,2017-06-07-10-58,1586,[headshake] no,J,N,0,N
14,X.X,ELE,elephant,2017-06-07-10-58,1586,[nod],J,Y,0,Y
15,XY.XandY,CAT-DOG,cat and dog,2017-06-07-10-58,1586,yes,J,Y,0,Y
16,XY.XorY,DOG-ELE,dog or elephant,2017-06-07-10-58,1586,dog AND an elephant,C,0,I,Y
