"","speaker_role","word","target_child_age_years","speech_act","count","total","rel_freq","ppt"
"1","Father","and",1.07118412046543,"declarative",2,63,0.0317460317460317,31.7460317460317
"2","Father","and",1.08333333333333,"other",2,388,0.00515463917525773,5.15463917525773
"3","Father","and",1.16666666666667,"declarative",4,328,0.0121951219512195,12.1951219512195
"4","Father","and",1.16666666666667,"other",2,924,0.00216450216450216,2.16450216450216
"5","Father","and",1.1694045174538,"declarative",8,265,0.030188679245283,30.188679245283
"6","Father","and",1.17488021902806,"other",1,18,0.0555555555555556,55.5555555555556
"7","Father","and",1.18583162217659,"declarative",4,120,0.0333333333333333,33.3333333333333
"8","Father","and",1.18583162217659,"other",2,65,0.0307692307692308,30.7692307692308
"9","Father","and",1.19404517453799,"declarative",13,1132,0.0114840989399293,11.4840989399293
"10","Father","and",1.19404517453799,"imperative",1,111,0.00900900900900901,9.00900900900901
"11","Father","and",1.19404517453799,"other",2,40,0.05,50
"12","Father","and",1.19404517453799,"question",2,450,0.00444444444444444,4.44444444444444
"13","Father","and",1.20499657768652,"declarative",4,250,0.016,16
"14","Father","and",1.22416153319644,"declarative",4,586,0.0068259385665529,6.8259385665529
"15","Father","and",1.24880219028063,"declarative",1,10,0.1,100
"16","Father","and",1.25,"other",23,2017,0.0114030738720873,11.4030738720873
"17","Father","and",1.26368925393566,"declarative",2,421,0.00475059382422803,4.75059382422803
"18","Father","and",1.26368925393566,"other",1,19,0.0526315789473684,52.6315789473684
"19","Father","and",1.26368925393566,"question",3,220,0.0136363636363636,13.6363636363636
"20","Father","and",1.3184462696783,"declarative",1,47,0.0212765957446809,21.2765957446809
"21","Father","and",1.32392197125257,"question",2,72,0.0277777777777778,27.7777777777778
"22","Father","and",1.33333333333333,"other",4,638,0.00626959247648903,6.26959247648903
"23","Father","and",1.3388090349076,"declarative",11,579,0.0189982728842832,18.9982728842832
"24","Father","and",1.3388090349076,"question",8,337,0.0237388724035608,23.7388724035608
"25","Father","and",1.34154688569473,"declarative",14,1169,0.0119760479041916,11.9760479041916
"26","Father","and",1.34154688569473,"question",3,379,0.0079155672823219,7.9155672823219
"27","Father","and",1.36071184120465,"declarative",39,2251,0.0173256330519769,17.3256330519769
"28","Father","and",1.36071184120465,"imperative",1,77,0.012987012987013,12.987012987013
"29","Father","and",1.36071184120465,"question",9,708,0.0127118644067797,12.7118644067797
"30","Father","and",1.36344969199179,"declarative",24,1623,0.0147874306839187,14.7874306839187
"31","Father","and",1.36344969199179,"imperative",1,26,0.0384615384615385,38.4615384615385
"32","Father","and",1.36344969199179,"other",4,98,0.0408163265306122,40.8163265306122
"33","Father","and",1.36344969199179,"question",6,732,0.00819672131147541,8.19672131147541
"34","Father","and",1.36618754277892,"declarative",12,903,0.0132890365448505,13.2890365448505
"35","Father","and",1.36618754277892,"question",2,377,0.00530503978779841,5.30503978779841
"36","Father","and",1.37987679671458,"declarative",13,1021,0.0127326150832517,12.7326150832517
"37","Father","and",1.37987679671458,"question",3,320,0.009375,9.375
"38","Father","and",1.3990417522245,"declarative",33,2082,0.015850144092219,15.850144092219
"39","Father","and",1.3990417522245,"other",2,33,0.0606060606060606,60.6060606060606
"40","Father","and",1.3990417522245,"question",6,633,0.00947867298578199,9.47867298578199
"41","Father","and",1.40177960301164,"declarative",18,1164,0.0154639175257732,15.4639175257732
"42","Father","and",1.40177960301164,"other",7,72,0.0972222222222222,97.2222222222222
"43","Father","and",1.40177960301164,"question",1,821,0.00121802679658952,1.21802679658952
"44","Father","and",1.41666666666667,"other",21,2354,0.00892098555649957,8.92098555649958
"45","Father","and",1.42214236824093,"declarative",43,3069,0.0140110785272076,14.0110785272076
"46","Father","and",1.42214236824093,"imperative",1,128,0.0078125,7.8125
"47","Father","and",1.42214236824093,"other",1,40,0.025,25
"48","Father","and",1.42214236824093,"question",2,661,0.00302571860816944,3.02571860816944
"49","Father","and",1.42488021902806,"declarative",3,215,0.013953488372093,13.953488372093
"50","Father","and",1.42488021902806,"other",2,47,0.0425531914893617,42.5531914893617
"51","Father","and",1.43309377138946,"declarative",3,483,0.0062111801242236,6.2111801242236
"52","Father","and",1.43309377138946,"other",1,15,0.0666666666666667,66.6666666666667
"53","Father","and",1.43309377138946,"question",1,150,0.00666666666666667,6.66666666666667
"54","Father","and",1.44130732375086,"declarative",26,2205,0.0117913832199546,11.7913832199546
"55","Father","and",1.44130732375086,"imperative",1,61,0.0163934426229508,16.3934426229508
"56","Father","and",1.44130732375086,"question",5,368,0.0135869565217391,13.5869565217391
"57","Father","and",1.44404517453799,"declarative",1,55,0.0181818181818182,18.1818181818182
"58","Father","and",1.44678302532512,"declarative",8,752,0.0106382978723404,10.6382978723404
"59","Father","and",1.44678302532512,"imperative",1,47,0.0212765957446809,21.2765957446809
"60","Father","and",1.44678302532512,"other",4,39,0.102564102564103,102.564102564103
"61","Father","and",1.44678302532512,"question",3,255,0.0117647058823529,11.7647058823529
"62","Father","and",1.45499657768652,"declarative",1,20,0.05,50
"63","Father","and",1.46047227926078,"declarative",63,3513,0.017933390264731,17.933390264731
"64","Father","and",1.46047227926078,"imperative",1,71,0.0140845070422535,14.0845070422535
"65","Father","and",1.46047227926078,"question",12,649,0.0184899845916795,18.4899845916795
"66","Father","and",1.47142368240931,"other",1,17,0.0588235294117647,58.8235294117647
"67","Father","and",1.47142368240931,"question",2,77,0.025974025974026,25.974025974026
"68","Father","and",1.47416153319644,"question",3,33,0.0909090909090909,90.9090909090909
"69","Father","and",1.4796372347707,"declarative",57,3424,0.0166471962616822,16.6471962616822
"70","Father","and",1.4796372347707,"other",1,95,0.0105263157894737,10.5263157894737
"71","Father","and",1.4796372347707,"question",7,1048,0.0066793893129771,6.6793893129771
"72","Father","and",1.48237508555784,"declarative",11,615,0.0178861788617886,17.8861788617886
"73","Father","and",1.48237508555784,"other",1,5,0.2,200
"74","Father","and",1.48237508555784,"question",3,102,0.0294117647058824,29.4117647058824
"75","Father","and",1.49332648870637,"declarative",24,1679,0.0142942227516379,14.2942227516379
"76","Father","and",1.49332648870637,"other",4,156,0.0256410256410256,25.6410256410256
"77","Father","and",1.49332648870637,"question",6,483,0.0124223602484472,12.4223602484472
"78","Father","and",1.5,"declarative",37,1744,0.0212155963302752,21.2155963302752
"79","Father","and",1.5,"other",11,146,0.0753424657534247,75.3424657534246
"80","Father","and",1.5,"question",8,494,0.0161943319838057,16.1943319838057
"81","Father","and",1.50547570157426,"declarative",7,251,0.0278884462151394,27.8884462151394
"82","Father","and",1.5082135523614,"declarative",1,57,0.0175438596491228,17.5438596491228
"83","Father","and",1.51095140314853,"declarative",3,117,0.0256410256410256,25.6410256410256
"84","Father","and",1.51095140314853,"other",1,6,0.166666666666667,166.666666666667
"85","Father","and",1.51916495550992,"declarative",38,1782,0.021324354657688,21.324354657688
