"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"453","declarative","Father",2.85249828884326,"or",2,1168,0.00171232876712329,1.71232876712329
"454","declarative","Father",2.86618754277892,"and",4,568,0.00704225352112676,7.04225352112676
"455","declarative","Father",2.87166324435318,"and",13,747,0.0174029451137885,17.4029451137885
"456","declarative","Father",2.87166324435318,"or",2,747,0.00267737617135207,2.67737617135207
"457","declarative","Father",2.87440109514031,"and",9,636,0.0141509433962264,14.1509433962264
"458","declarative","Father",2.87440109514031,"or",5,636,0.00786163522012579,7.86163522012579
"459","declarative","Father",2.87987679671458,"and",15,1174,0.0127768313458262,12.7768313458262
"460","declarative","Father",2.87987679671458,"or",3,1174,0.00255536626916525,2.55536626916525
"461","declarative","Father",2.88261464750171,"and",3,110,0.0272727272727273,27.2727272727273
"462","declarative","Father",2.88261464750171,"or",1,110,0.00909090909090909,9.09090909090909
"463","declarative","Father",2.88535249828884,"and",37,1488,0.0248655913978495,24.8655913978495
"464","declarative","Father",2.88535249828884,"or",2,1488,0.00134408602150538,1.34408602150538
"465","declarative","Father",2.88809034907598,"and",1,96,0.0104166666666667,10.4166666666667
"466","declarative","Father",2.89082819986311,"and",16,1089,0.014692378328742,14.692378328742
"467","declarative","Father",2.89082819986311,"or",2,1089,0.00183654729109275,1.83654729109275
"468","declarative","Father",2.89356605065024,"and",16,1204,0.0132890365448505,13.2890365448505
"469","declarative","Father",2.8990417522245,"and",3,361,0.00831024930747922,8.31024930747922
"470","declarative","Father",2.90177960301164,"and",27,1249,0.0216172938350681,21.6172938350681
"471","declarative","Father",2.90177960301164,"or",1,1249,0.000800640512409928,0.800640512409928
"472","declarative","Father",2.90451745379877,"and",21,1404,0.014957264957265,14.957264957265
"473","declarative","Father",2.90451745379877,"or",3,1404,0.00213675213675214,2.13675213675214
"474","declarative","Father",2.9072553045859,"and",8,398,0.0201005025125628,20.1005025125628
"475","declarative","Father",2.9072553045859,"or",2,398,0.0050251256281407,5.0251256281407
"476","declarative","Father",2.90999315537303,"and",3,138,0.0217391304347826,21.7391304347826
"477","declarative","Father",2.9154688569473,"and",7,512,0.013671875,13.671875
"478","declarative","Father",2.9154688569473,"or",1,512,0.001953125,1.953125
"479","declarative","Father",2.91666666666667,"and",32,2497,0.012815378454145,12.815378454145
"480","declarative","Father",2.91666666666667,"or",1,2497,0.00040048057669203,0.40048057669203
"481","declarative","Father",2.9194045174538,"and",17,1233,0.0137875101378751,13.7875101378751
"482","declarative","Father",2.92214236824093,"and",12,678,0.0176991150442478,17.6991150442478
"483","declarative","Father",2.92214236824093,"or",1,678,0.00147492625368732,1.47492625368732
