"dv_type","sid","trial_type","response","feedback","age_year","age_category"
"2",6,"X.Y","Wrong",NA,NA,"Adults"
"2",7,"X.Y","Wrong",NA,NA,"Adults"
"2",8,"X.Y","Wrong",NA,NA,"Adults"
"2",10,"X.Y","Wrong",NA,NA,"Adults"
"2",14,"X.Y","Wrong",NA,NA,"Adults"
"2",16,"X.Y","Wrong",NA,NA,"Adults"
"2",20,"X.Y","Wrong",NA,NA,"Adults"
"2",22,"X.Y","Wrong",NA,NA,"Adults"
"2",24,"X.Y","Wrong",NA,NA,"Adults"
"2",26,"X.Y","Wrong",NA,NA,"Adults"
"2",29,"X.Y","Wrong",NA,NA,"Adults"
"2",30,"X.Y","Wrong",NA,NA,"Adults"
"2",34,"X.Y","Wrong",NA,NA,"Adults"
"2",39,"X.Y","Wrong",NA,NA,"Adults"
"2",40,"X.Y","Wrong",NA,NA,"Adults"
"2",41,"X.Y","Wrong",NA,NA,"Adults"
"2",42,"X.Y","Wrong",NA,NA,"Adults"
"2",43,"X.Y","Wrong",NA,NA,"Adults"
"2",44,"X.Y","Wrong",NA,NA,"Adults"
"2",45,"X.Y","Wrong",NA,NA,"Adults"
"2",47,"X.Y","Wrong",NA,NA,"Adults"
"2",48,"X.Y","Wrong",NA,NA,"Adults"
"2",50,"X.Y","Wrong",NA,NA,"Adults"
"2",51,"X.Y","Wrong",NA,NA,"Adults"
"2",52,"X.Y","Wrong",NA,NA,"Adults"
"2",56,"X.Y","Wrong",NA,NA,"Adults"
"2",57,"X.Y","Wrong",NA,NA,"Adults"
"2",59,"X.Y","Wrong",NA,NA,"Adults"
"2",61,"X.Y","Wrong",NA,NA,"Adults"
"2",64,"X.Y","Wrong",NA,NA,"Adults"
"2",65,"X.Y","Wrong",NA,NA,"Adults"
"2",68,"X.Y","Wrong",NA,NA,"Adults"
"2",72,"X.Y","Wrong",NA,NA,"Adults"
"2",73,"X.Y","Wrong",NA,NA,"Adults"
"2",76,"X.Y","Wrong",NA,NA,"Adults"
"2",78,"X.Y","Wrong",NA,NA,"Adults"
"2",79,"X.Y","Wrong",NA,NA,"Adults"
"2",81,"X.Y","Wrong",NA,NA,"Adults"
"2",83,"X.Y","Wrong",NA,NA,"Adults"
"2",85,"X.Y","Wrong",NA,NA,"Adults"
"2",87,"X.Y","Wrong",NA,NA,"Adults"
"2",88,"X.Y","Wrong",NA,NA,"Adults"
"2",91,"X.Y","Wrong",NA,NA,"Adults"
"2",92,"X.Y","Wrong",NA,NA,"Adults"
"2",94,"X.Y","Wrong",NA,NA,"Adults"
"2",97,"X.Y","Wrong",NA,NA,"Adults"
"2",99,"X.Y","Wrong",NA,NA,"Adults"
"2",101,"X.Y","Wrong",NA,NA,"Adults"
"2",103,"X.Y","Wrong",NA,NA,"Adults"
"2",105,"X.Y","Wrong",NA,NA,"Adults"
"2",106,"X.Y","Wrong",NA,NA,"Adults"
"2",108,"X.Y","Wrong",NA,NA,"Adults"
"2",1,"X.XandY","Wrong",NA,NA,"Adults"
"2",2,"X.XandY","Right",NA,NA,"Adults"
"2",3,"X.XandY","Wrong",NA,NA,"Adults"
"2",4,"X.XandY","Wrong",NA,NA,"Adults"
"2",5,"X.XandY","Wrong",NA,NA,"Adults"
"2",6,"X.XandY","Wrong",NA,NA,"Adults"
"2",7,"X.XandY","Wrong",NA,NA,"Adults"
"2",8,"X.XandY","Wrong",NA,NA,"Adults"
"2",10,"X.XandY","Wrong",NA,NA,"Adults"
"2",14,"X.XandY","Wrong",NA,NA,"Adults"
"2",16,"X.XandY","Wrong",NA,NA,"Adults"
"2",20,"X.XandY","Wrong",NA,NA,"Adults"
"2",22,"X.XandY","Wrong",NA,NA,"Adults"
"2",24,"X.XandY","Wrong",NA,NA,"Adults"
"2",26,"X.XandY","Wrong",NA,NA,"Adults"
"2",29,"X.XandY","Wrong",NA,NA,"Adults"
"2",30,"X.XandY","Wrong",NA,NA,"Adults"
"2",34,"X.XandY","Wrong",NA,NA,"Adults"
"2",39,"X.XandY","Wrong",NA,NA,"Adults"
"2",40,"X.XandY","Wrong",NA,NA,"Adults"
"2",41,"X.XandY","Wrong",NA,NA,"Adults"
"2",42,"X.XandY","Wrong",NA,NA,"Adults"
"2",43,"X.XandY","Wrong",NA,NA,"Adults"
"2",44,"X.XandY","Wrong",NA,NA,"Adults"
"2",45,"X.XandY","Wrong",NA,NA,"Adults"
"2",47,"X.XandY","Right",NA,NA,"Adults"
"2",48,"X.XandY","Wrong",NA,NA,"Adults"
"2",50,"X.XandY","Wrong",NA,NA,"Adults"
"2",51,"X.XandY","Wrong",NA,NA,"Adults"
"2",52,"X.XandY","Wrong",NA,NA,"Adults"
"2",56,"X.XandY","Wrong",NA,NA,"Adults"
"2",57,"X.XandY","Wrong",NA,NA,"Adults"
"2",59,"X.XandY","Wrong",NA,NA,"Adults"
"2",61,"X.XandY","Wrong",NA,NA,"Adults"
"2",64,"X.XandY","Wrong",NA,NA,"Adults"
"2",65,"X.XandY","Wrong",NA,NA,"Adults"
"2",68,"X.XandY","Wrong",NA,NA,"Adults"
"2",72,"X.XandY","Wrong",NA,NA,"Adults"
"2",73,"X.XandY","Wrong",NA,NA,"Adults"
"2",76,"X.XandY","Wrong",NA,NA,"Adults"
"2",78,"X.XandY","Wrong",NA,NA,"Adults"
"2",79,"X.XandY","Wrong",NA,NA,"Adults"
"2",81,"X.XandY","Wrong",NA,NA,"Adults"
"2",83,"X.XandY","Wrong",NA,NA,"Adults"
"2",85,"X.XandY","Wrong",NA,NA,"Adults"
"2",87,"X.XandY","Wrong",NA,NA,"Adults"
"2",88,"X.XandY","Wrong",NA,NA,"Adults"
