order,trial_type,cards,guess,id,age,response,feedback,judgement,correction,TVJT
1,X.Z,ELE,dog,2017-05-25-14-23,1327,Nope! [] elephant!,J,N,0,NA
2,X.X,DOG,dog,2017-05-25-14-23,1327,Yes!,J,Y,0,NA
3,XY.Z,DOG-ELE,cat,2017-05-25-14-23,1327,Nope! [] elephant and dog!,J,N,0,NA
4,X.XandY,ELE,cat and elephant,2017-05-25-14-23,1327,Nope! [] elephant,J,N,0,NA
5,X.XandY,ELE,dog and elephant,2017-05-25-14-23,1327,elephant! [] no elephant!,D,0,0,NA
6,X.Z,DOG,elephant,2017-05-25-14-23,1327,No! a dog!,D,N,0,NA
7,XY.X,CAT-DOG,cat,2017-05-25-14-23,1327,AND a dog!,C,0,I,NA
8,X.XorY,ELE,cat or elephant,2017-05-25-14-23,1327,elephant!,D,0,0,NA
9,XY.XandY,DOG-ELE,dog and elephant,2017-05-25-14-23,1327,Yes!,J,Y,0,NA
10,XY.XorY,CAT-DOG,cat or dog,2017-05-25-14-23,1327,NA,NA,NA,NA,NA
11,XY.X,DOG-ELE,elephant,2017-05-25-14-23,1327,NA,NA,NA,NA,NA
12,XY.XandY,CAT-ELE,cat and elephant,2017-05-25-14-23,1327,Yes!,J,Y,0,NA
13,X.XorY,DOG,cat or dog,2017-05-25-14-23,1327,Dog!,D,0,0,NA
14,XY.XorY,CAT-ELE,cat or elephant,2017-05-25-14-23,1327,Cat AND an elephant!,C,0,I,NA
15,XY.Z,CAT-DOG,elephant,2017-05-25-14-23,1327,No!,J,N,0,NA
16,X.X,ELE,elephant,2017-05-25-14-23,1327,Yes!,J,Y,0,NA
