"","flat.intonation","clausal.syntactic_level","NA.answer","description.communicative_function","consistent.consistency","declarative.utterance_type","AND.interpretation"
"Prevalence",0.856164383561644,0.666666666666667,0.84,0.766666666666667,0.993333333333333,0.763333333333333,0.959866220735786
"Precision",0.885826771653543,0.877934272300469,0.966666666666667,0.947115384615385,0.996644295302013,0.963133640552995,0.969594594594595
"Recall",0.9,0.935,0.920634920634921,0.856521739130435,0.996644295302013,0.912663755458515,1
"F1",0.892857142857143,0.905569007263923,0.943089430894309,0.899543378995434,0.996644295302013,0.937219730941704,0.984562607204117
"Kappa",0.242141689897145,0.697674418604651,0.6661281637049,0.594833513407327,0.496644295302017,0.698133192109096,0.393372407574392
